,Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_2,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
0,2023/06/04 1:28:19 PM GMT+5:30,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste
1,2023/06/04 2:30:44 PM GMT+5:30,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste
2,2023/06/04 5:04:56 PM GMT+5:30,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy
3,2023/06/04 5:13:00 PM GMT+5:30,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy
4,2023/06/04 5:28:06 PM GMT+5:30,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy
5,2023/06/04 6:01:59 PM GMT+5:30,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy
6,2023/06/04 6:31:41 PM GMT+5:30,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability
7,2023/06/04 7:13:12 PM GMT+5:30,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability
8,2023/06/04 7:23:21 PM GMT+5:30,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste
9,2023/06/04 7:33:12 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy
10,2023/06/04 7:45:33 PM GMT+5:30,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability
11,2023/06/04 7:48:31 PM GMT+5:30,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy
12,2023/06/04 8:00:11 PM GMT+5:30,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy
13,2023/06/04 8:01:45 PM GMT+5:30,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy
14,2023/06/04 8:02:28 PM GMT+5:30,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste
15,2023/06/04 8:20:42 PM GMT+5:30,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability
16,2023/06/04 8:39:53 PM GMT+5:30,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability
